Starting to collect Vector measurements
Timer: Vector measurements completed in 637.384 (seconds)

Starting to collect Doubly Linked List measurements
Timer: Doubly Linked List measurements completed in 293.792 (seconds)

Starting to collect Singly Linked List measurements
Timer: Singly Linked List measurements completed in 479.082 (seconds)

Starting to collect Binary Search Tree measurements
Timer: Binary Search Tree measurements completed in 0.535571 (seconds)

Starting to collect Hash Table measurements
Timer: Hash Table measurements completed in 0.293831 (seconds)
Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the back	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
57000	70	77	0	0	1	0	0	769826	20	0	0	170494	1	173063	0	764894	7	482670	0	446912	737032
57250	108	21	21	0	0	0	0	770756	5	0	0	180412	0	184978	0	769711	6	473711	0	440913	741914
57500	73	18	39	0	13	0	0	782072	0	1	0	176777	0	187204	0	768080	9	483572	0	442825	748861
57750	185	18	0	0	0	0	0	778935	19	0	0	175901	44	186964	0	777094	7	485356	0	444898	749957
58000	118	39	17	0	0	0	0	779121	2	0	0	196001	1	185793	0	785109	7	482813	0	454566	751107
58250	71	17	0	50	0	0	0	780280	3	0	0	192586	1	184297	0	780505	6	482387	0	448872	757291
58500	135	25	0	0	0	0	0	882227	3	0	0	183124	0	181707	0	788107	24	487643	0	451758	756549
58750	79	17	0	0	1	0	0	794185	3	0	0	189757	1	189194	0	785044	6	484519	0	453132	765098
59000	77	37	0	0	2	0	0	787377	2	0	0	184541	0	184866	0	801050	6	487110	0	464050	764094
59250	100	27	0	0	1	0	8	798041	11	0	0	189094	0	186881	0	795947	8	488633	0	459430	764739
59500	79	53	0	15	0	0	0	794193	3	12	0	192765	2	178274	0	796131	6	503152	0	463422	773623
59750	102	30	0	0	0	0	0	831842	4	0	0	181167	1	177235	0	910412	7	492929	0	463169	774821
60000	235	51	25	0	1	0	0	800241	9	0	0	191139	0	197967	0	805299	8	498512	0	465489	781585
60250	145	19	0	0	1	0	0	800539	9	0	0	188557	64	194729	0	811336	7	501021	0	468191	780314
60500	156	28	0	0	0	0	0	814559	14	0	0	186146	0	207236	0	813927	6	504602	0	476606	780158
60750	140	32	0	43	0	9	0	821157	8	0	0	210496	2	192597	0	814195	7	505118	0	471950	789244
61000	132	41	0	0	1	0	0	815592	3	0	0	191433	1	200651	0	822846	24	503849	0	473024	797783
61250	193	24	0	0	1	0	0	818376	2	0	0	205350	0	199656	0	825274	6	512236	0	478383	793147
61500	126	35	0	0	2	0	0	818798	2	0	0	196464	1	206337	0	822597	8	521065	0	478670	799279
61750	108	37	0	0	1	0	0	831906	5	23	0	185391	1	203031	0	829260	6	511002	0	495374	800603
62000	117	45	11	0	0	0	0	825012	4772	0	0	209544	0	200020	0	838776	8	516379	16	502550	812060
62250	131	33	10	0	0	0	0	836007	11	15	0	194529	3	202347	0	837762	6	518297	0	493341	806626
62500	103	28	0	0	1	0	0	834516	0	0	0	200789	0	209387	0	843273	8	521260	0	486938	816410
62750	100	44	0	0	1	0	18	840040	1	0	0	194503	2	215922	0	848042	8	521512	0	496338	814440
63000	231	48	0	0	0	0	0	847503	28	0	0	204879	0	211051	0	841348	6	522617	0	491549	820014
63250	157	66	0	40	0	0	0	847107	1	0	0	234832	0	207298	0	847318	7	528877	0	494894	824975
63500	123	37	0	0	0	0	0	852268	0	0	0	212596	2	216699	0	855646	7	527291	0	494900	822503
63750	137	99	0	0	0	0	0	856046	12	0	0	228826	0	217728	0	856082	7	535154	0	510723	837085
64000	105	32	0	0	0	0	0	860378	1	0	0	206296	1	217608	0	860353	8	530263	0	500049	828856
64250	97	59	0	0	0	0	0	861366	0	0	0	250336	0	224447	0	867825	7	537242	0	502372	831249
64500	123	37	0	0	0	9	0	862479	1	0	0	209431	0	217521	0	867922	7	536192	8	503967	835785
64750	359	54	0	0	0	0	0	870886	1	0	0	217156	1	228692	0	868490	6	651008	0	508748	837026
65000	146	36	9	0	30	0	0	871337	1	0	0	218322	34	229300	0	879538	9	544690	0	514413	860794
65250	131	37	27	0	1	0	0	877138	0	0	0	216733	15	222698	0	884761	6	544505	0	517024	844631
65500	130	51	0	0	0	0	0	881323	12	0	0	246450	0	218560	0	884248	2682	545588	0	526527	857437
65750	114	60	0	0	1	0	0	888949	1	12	0	210798	0	377744	19	894252	7	548208	0	515194	850763
66000	140	39	0	9	0	0	0	883265	0	0	0	226974	2	228405	0	888686	31	554948	0	521949	853517
66250	139	42	0	0	1	0	14	891215	1	0	0	216459	0	216003	0	897903	7	552541	0	524344	879498
66500	100	59	0	0	1	0	0	891817	0	0	0	247266	2	228495	0	894964	8	563356	0	528694	879681
66750	122	29	0	0	0	0	0	890322	2	43	0	233745	0	240944	0	905920	7	558947	0	523272	901980
67000	109	36	0	0	0	0	0	901562	11	0	0	235496	0	242200	0	901391	53	564069	0	525613	877644
67250	93	33	0	0	1	0	0	903635	3	0	0	221125	11	240719	0	912417	6	560962	0	528498	872794
67500	125	51	0	0	10	0	0	914923	1	0	0	235998	0	230178	0	911348	8	561978	0	531393	873462
67750	103	30	0	0	0	0	0	910879	1	13	0	232112	0	249955	8	912855	6	572326	0	534060	875926
68000	90	64	0	0	0	0	0	909379	1	0	0	235279	0	241977	0	916024	7	570307	0	534910	883715
68250	104	36	0	0	2	16	0	913828	4	0	0	239191	2	241004	0	926132	7	575901	0	537152	879783
68500	101	53	0	0	1	0	0	922562	4	0	0	247956	1	237236	0	927639	6	571550	0	553960	890804
68750	90	31	42	0	0	0	0	926502	4	0	0	254246	0	237924	0	929351	7	584064	0	539396	895697
69000	89	37	0	0	1	0	0	928295	0	0	0	259268	1	252780	0	938372	9	578704	0	544714	891531
69250	115	45	22	0	1	0	0	928505	22	0	0	263203	1	257034	0	933176	7	578456	0	559445	903456
69500	99	52	0	0	0	0	0	927965	0	0	0	264233	2	252168	0	941067	16	581733	0	551252	896297
69750	122	45	0	0	19	0	0	938620	2	21	0	254951	20	250066	0	944407	9	583068	0	549758	903735
70000	123	42	0	0	0	0	0	945442	12	0	0	260022	1	258240	0	944887	6	585751	0	553850	905449
70250	91	81	0	0	0	0	0	945142	1	0	0	263039	0	255052	0	947101	7	583737	0	561220	907827
70500	92	44	0	0	0	0	0	943684	4	0	0	258213	0	251401	0	949318	7	595088	0	560625	917123
70750	114	41	0	0	0	0	0	953764	0	0	0	273146	0	252535	0	958984	6	589275	0	558650	915466
71000	141	50	0	0	1	0	0	950184	1	0	0	264038	1	266923	0	962877	8	591228	0	560697	920540
71250	102	101	0	0	2	0	0	960267	1	0	0	255623	1	269502	0	964613	6	606610	0	567774	920726
71500	108	41	0	9	0	0	0	957440	0	0	0	283678	0	274004	0	962536	8	592281	0	564280	934198
71750	144	61	0	0	1	0	0	961131	11	13	0	275142	0	268951	0	975553	8	598217	0	567216	931385
72000	99	87	0	0	3	8	0	969137	3	0	0	272680	1	275368	0	975092	6	603081	0	576783	936370
72250	98	53	0	0	10	0	0	972668	1	0	0	273677	0	264632	0	981602	7	606916	0	571936	1039625
72500	124	46	0	0	0	0	0	983542	1	0	0	296465	0	265482	0	979696	45	617683	0	581608	944956
72750	122	51	0	19	1	0	0	982530	5	0	0	276764	1	274739	0	990842	7	605857	0	577592	942065
73000	140	70	0	0	1	0	0	987547	2	0	0	278371	3	281843	0	997724	6	618257	0	584867	950623
73250	133	60	0	0	2	0	11	986601	11	0	0	288357	0	268418	0	995999	7	613014	0	581957	947978
73500	110	38	0	0	2	0	0	992871	3	0	0	271877	0	267275	0	1001388	7	611627	0	583271	954657
73750	104	43	0	0	17	0	0	991888	3	14	0	297282	0	284202	0	1051884	6	625124	0	591846	952849
74000	93	78	8	0	0	0	0	998428	2	0	0	302612	1	282921	0	1000710	10	624172	0	608731	962008
74250	114	65	0	0	0	0	0	997477	2	0	0	313780	0	287603	0	1011731	6	620936	0	591102	966668
74500	101	62	0	0	0	0	0	1005115	1	0	0	295328	1	284533	0	1007382	7	631338	0	595655	972133
74750	93	137	0	0	42	0	0	1000237	27	0	0	295039	0	288843	0	1021909	7	621630	0	592768	971253
75000	113	62	13	0	0	0	0	1009039	5	0	0	368047	1	280588	0	1016770	7	627517	0	596273	973545
75250	97	92	0	0	2	0	0	1133262	0	0	0	305543	1	293832	0	1025126	7	639055	0	601258	982465
75500	87	66	0	0	2	0	0	1019236	21	0	0	295629	2	297230	0	1026120	7	1029358	0	604508	982500
75750	114	93	0	0	1	9	0	1020950	4	0	13	311364	1	296863	0	1033791	7	655481	0	616208	990697
76000	94	80	0	0	0	0	9	1023721	3	0	0	305008	0	283933	0	1148665	7	677824	0	621312	987394
76250	153	53	0	0	1	0	0	1029802	30	0	0	307866	1	301309	0	1033743	7	651651	0	650290	1000710
76500	118	74	0	0	0	0	0	1030289	3	0	0	302104	0	306650	0	1036131	28	649181	0	625392	1002539
76750	122	43	20	9	0	0	0	1035899	4	0	0	326916	1	288853	0	1049999	7	653497	0	612874	1001383
77000	96	59	0	0	10	0	0	1036364	1	0	0	331535	9	301893	0	1062175	7	659476	0	618641	1035377
77250	103	46	0	0	0	0	0	1037510	0	0	0	320435	0	310450	0	1051910	6	667160	0	619643	1007242
77500	131	76	0	0	0	0	0	1042416	3	0	0	362967	2	304138	0	1057507	8	661656	0	619411	1006747
77750	301	63	9	0	0	0	0	1054903	15	1	0	341934	0	297886	0	1060964	16	679849	0	628920	1017479
78000	135	49	0	0	0	0	0	1057037	1	0	0	341541	1	329239	0	1065637	6	671711	0	622076	1015149
78250	125	94	0	0	0	0	0	1062331	2	2	0	354262	1	311329	0	1060776	8	676639	0	630312	1018659
78500	108	59	9	0	2	0	0	1055891	2	0	0	493298	1	318973	0	1068132	6	685732	0	635399	1026122
78750	136	93	0	0	17	0	0	1069317	3	0	0	371516	0	326481	0	1074151	7	666382	9	635066	1027932
79000	213	68	0	0	1	0	0	1067765	3	0	0	347186	1	319586	0	1073945	9	669789	0	634809	1028571
79250	171	79	0	0	0	0	0	1067224	5	0	0	335106	1	315265	0	1078774	7	660773	0	639086	1028070
79500	156	58	0	1	1	9	17	1068163	2	0	0	373222	1	329988	0	1080259	6	670031	0	642150	1034347
79750	170	76	0	0	0	0	0	1073165	3	12	0	359343	1	344708	0	1088199	8	728214	0	642779	1042968
80000	151	88	0	0	0	0	0	1085741	0	0	0	342244	2	312396	0	1092229	7	704094	0	642875	1042247
80250	179	81	0	0	1	0	15	1082386	3	0	0	389693	1	342415	0	1089174	6	673944	0	651437	1044887
80500	172	84	0	0	1	0	0	1089487	4	0	9	369681	1	330904	0	1099330	10	676069	0	646022	1049673
80750	142	78	0	0	0	0	0	1086341	11	0	0	374160	22	334208	0	1103846	6	683675	0	647256	1050364
81000	155	119	0	0	0	0	0	1094038	0	0	0	367426	0	356639	0	1101956	7	676785	0	656848	1056394
81250	168	102	0	0	1	0	0	1099683	7	0	0	363997	1	345964	0	1106469	9	682040	0	653329	1054185
81500	142	117	0	0	1	0	0	1092309	43	0	0	443004	0	325184	0	1114032	6	687736	0	651545	1061974
81750	180	182	0	0	0	0	0	1106477	1	1	0	391018	0	356318	0	1116467	8	685966	0	665950	1062702
82000	171	115	0	0	9	0	0	1100998	4	0	0	389505	11	345186	0	1121465	6	687034	0	654490	1061894
82250	214	162	0	9	0	0	0	1115032	12	0	0	399367	0	342876	0	1119911	7	695453	0	662748	1075624
82500	226	157	0	0	1	0	0	1114068	4	0	0	381466	0	363536	0	1131214	7	697165	0	777533	1073552
82750	152	141	0	0	0	0	9	1111352	2	0	0	450149	0	349028	0	1135332	7	694436	0	678955	1076302
83000	154	160	28	0	0	0	0	1122582	3	0	0	404394	0	351701	0	1155819	6	702870	0	672062	1083751
83250	180	197	0	0	1	17	0	1143001	4	0	17	429721	1	406724	0	1141121	19	706481	0	674611	1081337
83500	154	170	0	0	2	0	0	1134219	4	11	8	408519	1	365565	0	1152079	7	700473	0	673168	1091848
83750	140	154	0	0	1	0	0	1137915	13	0	0	413256	0	386930	0	1145723	8	708788	0	673237	1089920
84000	180	171	0	0	3	0	0	1137023	0	0	0	457031	2	369104	0	1148618	8	708508	0	685661	1093132
84250	145	237	75	0	1	0	0	1132726	2	0	0	403822	10	348935	0	1159066	6	710361	0	679746	1090441
84500	155	263	23	0	10	0	0	1148046	4	0	0	454631	1	387490	0	1160475	6	713200	0	682587	1103895
84750	182	174	15	0	0	0	0	1144242	1	0	0	434219	1	373767	0	1164283	8	714536	0	685616	1106046
85000	149	170	0	17	1	14	0	1151777	1	0	0	457561	1	356401	0	1194621	6	714155	0	684696	1104346
85250	158	83	0	0	2	0	0	1157177	3	0	0	471266	2	396071	0	1229252	7	722344	0	694726	1106946
85500	168	85	0	0	0	0	0	1174366	4	25	0	428578	0	388308	0	1191592	7	722522	0	691984	1119656
85750	150	58	9	0	1	0	0	1161524	0	0	0	441306	1	387800	0	1180393	7	722515	0	700622	1118246
86000	186	77	0	0	1	0	0	1166292	3	0	0	451240	2	383989	0	1179897	17	727998	0	704280	1119782
86250	165	110	0	0	0	0	0	1175659	2	0	0	497160	1	370934	0	1177869	9	725589	0	695916	1126864
86500	145	76	10	0	0	0	0	1198184	4	0	0	458671	0	422552	0	1182135	7	728847	0	702041	1122863
86750	167	88	0	0	1	0	0	1180220	11	0	0	514181	0	394017	0	1188346	6	737272	0	710892	1237014
87000	195	90	0	0	3	0	0	1180065	7	0	0	463492	1	403091	0	1208516	8	732906	0	705450	1128870
87250	147	121	0	0	0	0	0	1175938	10	11	0	526950	0	392054	0	1215111	6	737218	0	704428	1141753
87500	146	85	1	0	2	0	0	1189182	32	0	0	455523	1	377298	0	1195766	28	738691	0	712911	1163191
87750	231	88	0	9	0	0	116	1183488	2	0	0	550989	2	417405	0	1219836	6	850836	0	727793	1138717
88000	289	118	0	0	0	0	0	1188535	18	0	0	492822	1	399244	0	1217098	6	740253	0	708962	1149490
88250	186	103	0	0	0	0	0	1192727	5	0	0	560176	0	416966	0	1217444	8	742683	0	715341	1146779
88500	227	139	0	0	0	0	0	1200989	1	0	0	484658	1	415981	0	1224008	6	749420	0	724870	1159929
88750	245	97	0	0	0	0	0	1310464	1	0	0	534169	2	408274	0	1217847	19	749368	0	716330	1152677
89000	303	378	9	0	0	0	0	1196346	174	0	0	490534	15	430472	0	1222808	7	749260	0	722833	1164495
89250	216	91	0	0	0	0	0	1206580	5	11	0	558206	0	424066	0	1336101	7	752381	0	731482	1163702
89500	227	107	0	0	2	0	8	1215248	5	0	0	524701	0	466815	0	1230044	6	758408	0	729942	1169108
89750	208	117	0	0	0	0	0	1213884	3	0	0	558145	1	411893	0	1231217	7	755638	0	729267	1172686
90000	207	81	0	0	1	0	0	1218654	7	0	0	545567	0	440020	0	1238974	7	756961	0	736258	1169277
90250	234	91	0	0	0	0	0	1218071	4	0	0	551129	21	442565	0	1229513	6	756932	0	740140	1179645
90500	185	116	0	0	2	0	0	1227228	2	0	0	535474	2	410739	0	1258145	8	758731	0	736060	1181602
90750	236	106	0	0	0	8	0	1234034	13	0	0	539759	0	430856	0	1246643	6	771094	0	739794	1183201
91000	207	118	0	0	1	0	0	1229158	5	0	0	594256	1	440557	0	1244100	6	767942	0	740060	1186323
91250	218	137	0	0	0	0	0	1271499	3	0	0	527349	1	468286	0	1252835	10	773422	0	748009	1188938
91500	252	131	0	0	0	0	0	1240295	2	0	0	582075	9	452219	0	1256649	7	774510	0	742114	1193528
91750	171	108	0	0	0	0	0	1243694	1	0	0	613318	2	478192	0	1255997	7	771698	0	740967	1202967
92000	166	121	0	0	10	0	0	1303574	16	0	0	573433	2	438977	0	1253544	7	781540	0	756722	1201187
92250	176	93	0	0	0	0	0	1253055	5	0	0	582859	1	496986	0	1264014	7	777572	0	749244	1205186
92500	177	95	0	0	2	0	0	1265320	2	0	0	580448	1	485352	0	1274380	6	782144	0	751082	1204153
92750	181	158	16	0	0	0	0	1252197	21	0	0	622172	0	470540	26	1269280	7	786611	0	757558	1211728
93000	9071	87	20	0	0	0	0	1267593	3	0	0	577068	1	477441	0	1266994	7	782029	0	764327	1221336
93250	267	112	0	0	0	0	0	1253470	1	0	0	629002	2	473616	0	1277806	7	784978	8	758217	1226624
93500	264	104	0	0	0	0	0	1259458	25	0	0	605083	0	509922	0	1275594	7	791517	0	753634	1218155
93750	228	119	0	0	0	0	0	1262360	7	1	0	581562	1	465367	0	1279606	8	787480	0	759554	1223978
94000	235	87	13	0	2	0	0	1267976	9	0	0	647428	9	482753	0	1287375	8	794684	0	770823	1226011
94250	235	95	13	0	0	0	0	1272305	3	0	0	629900	0	498738	0	1292464	7	800076	0	763524	1237770
94500	215	129	0	0	2	0	0	1273036	1	0	0	626668	2	502129	0	1285652	6	812709	0	775597	1230164
94750	204	89	70	15	1	0	0	1282488	5	1	0	637064	2	479012	0	1294793	8	796500	0	767389	1231552
95000	215	120	51	0	0	0	0	1282422	16	0	0	586129	0	508999	0	1307126	6	804907	0	771268	1240489
95250	195	144	22	0	1	0	0	1289290	5	0	0	647004	4	487050	0	1297375	7	804675	0	776940	1247596
95500	193	113	23	0	0	0	0	1293803	2	0	0	631661	0	523321	0	1302178	8	801725	0	780860	1243210
95750	213	100	0	0	0	0	0	1289989	4	0	0	651868	1	482065	0	1306332	7	807720	0	775934	1242358
96000	211	100	13	16	0	0	0	1295025	3	0	0	685159	0	504444	0	1331473	6	807208	0	792925	1251351
96250	185	122	0	0	0	0	28	1301027	5	1	0	651076	1	487372	0	1317904	10	812501	0	785898	1256905
96500	250	105	0	0	0	0	0	1302471	21	0	0	649672	1	531176	0	1320026	7	815864	0	789113	1257917
96750	181	113	0	0	12	0	0	1312195	7	0	7	682843	0	503361	0	1328031	6	812445	0	786796	1267184
97000	186	140	0	0	0	0	0	1313192	4	0	0	668129	2	505377	0	1334434	19	820337	0	786800	1283039
97250	197	105	0	0	1	0	0	1313948	5	0	8	637364	0	493936	0	1323869	6	823743	0	794635	1275845
97500	180	120	0	0	1	0	0	1322165	7	0	0	716349	38	566142	0	1330899	19	828239	0	799885	1272516
97750	158	138	0	0	1	0	0	1325237	16	0	0	689891	0	521241	0	1342972	43	830697	0	809297	1279236
98000	194	132	0	0	0	0	0	1359382	6	0	0	664564	0	546543	0	1336413	6	829441	0	796197	1280979
98250	173	138	0	0	0	0	0	1333892	2	0	0	704415	0	559422	0	1340513	28	831173	0	807412	1284718
98500	167	160	0	0	0	17	0	1334177	20	0	0	689191	2	501329	0	1347049	8	827308	0	810479	1288792
98750	177	171	0	8	1	0	0	1330149	6	0	0	674715	11	528517	0	1354185	9	831320	0	807169	1287815
99000	187	146	0	0	3	0	0	1344314	4	0	0	703952	0	582371	0	1356670	7	841202	0	814878	1401695
99250	184	146	0	0	41	0	0	1342116	30	0	0	727584	0	576711	0	1357980	6	835848	0	809666	1291315
99500	203	145	0	0	0	0	0	1339191	6	0	0	722973	0	522168	0	1360657	17	866311	0	805948	1296311
99750	157	171	0	0	1	0	0	1352186	2	0	0	705591	1	561321	12	1372756	7	838466	0	817988	1300745
100000	163	143	0	0	0	0	0	1349422	8	13	0	758613	0	521451	0	1376087	8	851465	0	811947	1298536
100250	195	157	0	0	2	0	0	1348121	4	0	0	745720	0	562185	0	1372472	6	841799	0	821801	1306479
100500	173	142	0	0	0	0	0	1463193	18	1	0	715683	1	542636	0	1376761	8	845118	0	819907	1305238
100750	170	145	0	0	0	0	0	1363986	7	23	15	737713	0	552957	0	1503363	6	854873	0	831119	1311155
101000	193	164	0	0	0	0	0	1361489	6	0	0	741058	10	608603	15	1389211	6	851163	0	831300	1315500
101250	176	155	0	0	17	0	0	1410390	7	0	0	765216	1	542265	0	1388767	10	861132	0	840090	1315522
101500	206	158	0	37	46	0	0	1372945	7	0	0	745962	0	558542	0	1406001	6	856276	0	843260	1325686
101750	313	188	0	0	2	0	0	1381555	5	14	0	802418	1	536605	0	1390170	7	862703	0	839068	1323176
102000	181	206	0	0	0	0	0	1373192	17	0	0	770855	0	611430	0	1396937	8	859848	0	850025	1327953
102250	183	164	0	0	1	0	0	1391990	5	0	0	780324	0	600640	0	1407381	7	859331	0	955411	1328372
102500	225	197	0	0	0	0	0	1390702	7	0	0	755320	0	609611	0	1407695	6	866705	0	846997	1331869
102750	202	164	0	0	0	0	0	1395553	2	0	0	809697	1	621879	0	1414761	7	863170	0	855264	1344238
103000	191	192	0	0	0	0	0	1398678	5	0	0	829646	0	541232	0	1421698	8	865951	0	855846	1338034
103250	257	210	0	0	0	0	8	1399974	5	12	0	813150	0	652839	0	1430090	6	870940	0	871465	1345628
103500	186	191	0	0	0	0	0	1394188	7	0	0	827624	1	644329	0	1426857	8	873468	0	863644	1353061
103750	197	213	0	0	0	0	0	1429536	1	0	0	781516	26	622322	0	1424833	8	872981	0	878034	1349294
104000	201	229	0	21	1	0	0	1414651	21	3	0	778624	0	723168	0	1816707	6	876705	0	874592	1353164
104250	92	110	0	0	0	3	0	624203	3	1	0	394831	1	256878	1	658298	4	395614	0	391796	601609
--------------------------------------------------------------------------------
Timer: total elapsed time is 1411.09 (seconds)
